Tennis French Open 2011 Mens Tournament Third Round Matches A Murray v Berrer 
Set Betting
Timestamp,Timestamp,Inplay delay,Market status,Selection name,BP1,BV1,LP1,LV1,Total matched,LPM
1306578393650,Sat May 28 11:26:33 BST 2011,5,ACTIVE,A Murray 3 - 2,1.17,198.47,960.0,39.15,1072.93,19.5,
1306578807650,Sat May 28 11:33:27 BST 2011,5,ACTIVE,A Murray 3 - 2,1.17,198.47,-1.0,-1.0,1072.93,19.5,
1306578829650,Sat May 28 11:33:49 BST 2011,5,ACTIVE,A Murray 3 - 2,1.17,198.47,-1.0,-1.0,1072.93,19.5,
1306578850650,Sat May 28 11:34:10 BST 2011,5,ACTIVE,A Murray 3 - 2,1.17,198.47,950.0,39.15,1072.93,19.5,
1306578945650,Sat May 28 11:35:45 BST 2011,5,ACTIVE,A Murray 3 - 2,1.17,198.47,950.0,39.15,1072.93,19.5,
1306578949650,Sat May 28 11:35:49 BST 2011,5,ACTIVE,A Murray 3 - 2,1.17,198.47,950.0,39.15,1072.93,19.5,
1306578963650,Sat May 28 11:36:03 BST 2011,5,ACTIVE,A Murray 3 - 2,1.17,198.47,950.0,39.15,1072.93,19.5,
1306579268650,Sat May 28 11:41:08 BST 2011,5,ACTIVE,A Murray 3 - 2,1.17,198.47,950.0,39.15,1073.37,50.0,
1306579662650,Sat May 28 11:47:42 BST 2011,5,ACTIVE,A Murray 3 - 2,1.17,198.47,950.0,39.15,1074.17,50.0,
1306579737650,Sat May 28 11:48:57 BST 2011,5,ACTIVE,A Murray 3 - 2,21.0,133.47,950.0,39.15,1074.17,50.0,
1306579811650,Sat May 28 11:50:11 BST 2011,5,ACTIVE,A Murray 3 - 2,21.0,133.47,950.0,39.15,1074.6,50.0,
1306580068650,Sat May 28 11:54:28 BST 2011,5,ACTIVE,A Murray 3 - 2,1.17,198.47,950.0,39.15,1074.6,50.0,
1306580157650,Sat May 28 11:55:57 BST 2011,5,ACTIVE,A Murray 3 - 2,19.0,84.93,950.0,39.15,1074.6,50.0,
1306580389650,Sat May 28 11:59:49 BST 2011,5,ACTIVE,A Murray 3 - 2,19.0,84.93,950.0,39.15,1074.81,390.0,
1306580716650,Sat May 28 12:05:16 BST 2011,5,ACTIVE,A Murray 3 - 2,1.17,198.47,950.0,39.15,1074.81,390.0,
1306582315650,Sat May 28 12:31:55 BST 2011,5,ACTIVE,A Murray 3 - 2,1.17,203.67,950.0,39.15,1074.81,390.0,
1306582417650,Sat May 28 12:33:37 BST 2011,5,ACTIVE,A Murray 3 - 2,1.17,198.47,950.0,39.15,1074.81,390.0,
1306582578650,Sat May 28 12:36:18 BST 2011,5,ACTIVE,A Murray 3 - 2,1.11,2515.07,950.0,39.15,1074.81,390.0,
1306583154650,Sat May 28 12:45:54 BST 2011,5,ACTIVE,A Murray 3 - 2,4.0,24.36,950.0,39.15,1074.81,390.0,
1306583175650,Sat May 28 12:46:15 BST 2011,5,ACTIVE,A Murray 3 - 2,1.11,2515.07,950.0,39.15,1074.81,390.0,
1306583180650,Sat May 28 12:46:20 BST 2011,5,ACTIVE,A Murray 3 - 2,3.4,24.36,950.0,39.15,1074.81,390.0,
1306584121650,Sat May 28 13:02:01 BST 2011,5,ACTIVE,A Murray 3 - 2,3.4,24.36,950.0,39.15,1081.29,5.5,
1306584179650,Sat May 28 13:02:59 BST 2011,5,ACTIVE,A Murray 3 - 2,7.0,163.8,950.0,39.15,1081.29,5.5,
1306584223650,Sat May 28 13:03:43 BST 2011,5,ACTIVE,A Murray 3 - 2,7.0,163.8,38.0,136.93,1081.29,5.5,
1306584245650,Sat May 28 13:04:05 BST 2011,5,ACTIVE,A Murray 3 - 2,7.0,163.8,38.0,128.76,1089.46,38.0,
1306584317650,Sat May 28 13:05:17 BST 2011,5,ACTIVE,A Murray 3 - 2,7.0,163.8,38.0,128.68,1089.54,38.0,
1306584343650,Sat May 28 13:05:43 BST 2011,5,ACTIVE,A Murray 3 - 2,8.2,6.09,38.0,128.68,1089.54,38.0,
1306584429650,Sat May 28 13:07:09 BST 2011,5,ACTIVE,A Murray 3 - 2,7.0,163.8,38.0,128.68,1089.54,38.0,
1306584434650,Sat May 28 13:07:14 BST 2011,5,ACTIVE,A Murray 3 - 2,7.2,6.09,38.0,128.68,1089.54,38.0,
