Tennis French Open 2011 Mens Tournament Third Round Matches A Murray v Berrer 
Set Betting
Timestamp,Timestamp,Inplay delay,Market status,Selection name,BP1,BV1,LP1,LV1,Total matched,LPM
1306578393650,Sat May 28 11:26:33 BST 2011,5,ACTIVE,A Murray 3 - 1,4.8,210.0,960.0,39.15,1339.14,5.0,
1306578430650,Sat May 28 11:27:10 BST 2011,5,ACTIVE,A Murray 3 - 1,4.8,210.0,960.0,39.15,1339.14,5.0,
1306578482650,Sat May 28 11:28:02 BST 2011,5,ACTIVE,A Murray 3 - 1,4.8,209.49,960.0,39.15,1343.14,4.8,
1306578502650,Sat May 28 11:28:22 BST 2011,5,ACTIVE,A Murray 3 - 1,4.8,189.49,960.0,39.15,1383.14,4.8,
1306578643650,Sat May 28 11:30:43 BST 2011,5,ACTIVE,A Murray 3 - 1,4.8,189.49,960.0,39.15,1383.14,4.8,
1306578807650,Sat May 28 11:33:27 BST 2011,5,ACTIVE,A Murray 3 - 1,4.8,189.49,-1.0,-1.0,1383.14,4.8,
1306578829650,Sat May 28 11:33:49 BST 2011,5,ACTIVE,A Murray 3 - 1,4.8,184.87,-1.0,-1.0,1392.38,4.8,
1306578850650,Sat May 28 11:34:10 BST 2011,5,ACTIVE,A Murray 3 - 1,4.8,184.87,950.0,39.15,1392.38,4.8,
1306578890650,Sat May 28 11:34:50 BST 2011,5,ACTIVE,A Murray 3 - 1,4.8,183.14,950.0,39.15,1395.84,4.8,
1306578992650,Sat May 28 11:36:32 BST 2011,5,ACTIVE,A Murray 3 - 1,4.8,183.14,55.0,22.53,1395.84,4.8,
1306579134650,Sat May 28 11:38:54 BST 2011,5,ACTIVE,A Murray 3 - 1,4.8,181.41,55.0,22.53,1399.3,4.8,
1306579258650,Sat May 28 11:40:58 BST 2011,5,ACTIVE,A Murray 3 - 1,1.7,277.34,55.0,22.53,1399.3,4.8,
1306579268650,Sat May 28 11:41:08 BST 2011,5,ACTIVE,A Murray 3 - 1,1.7,277.34,55.0,22.53,1402.77,6.4,
1306579309650,Sat May 28 11:41:49 BST 2011,5,ACTIVE,A Murray 3 - 1,6.0,279.07,55.0,22.53,1402.77,6.4,
1306579335650,Sat May 28 11:42:15 BST 2011,5,ACTIVE,A Murray 3 - 1,6.0,279.07,55.0,22.53,1402.77,6.4,
1306579427650,Sat May 28 11:43:47 BST 2011,5,ACTIVE,A Murray 3 - 1,6.0,279.07,950.0,39.15,1402.77,6.4,
1306579432650,Sat May 28 11:43:52 BST 2011,5,ACTIVE,A Murray 3 - 1,6.0,279.07,48.0,22.53,1402.77,6.4,
1306579662650,Sat May 28 11:47:42 BST 2011,5,ACTIVE,A Murray 3 - 1,6.0,279.07,48.0,22.53,1407.77,8.0,
1306579758650,Sat May 28 11:49:18 BST 2011,5,ACTIVE,A Murray 3 - 1,4.6,180.0,48.0,22.53,1407.77,8.0,
1306579763650,Sat May 28 11:49:23 BST 2011,5,ACTIVE,A Murray 3 - 1,6.2,279.07,48.0,22.53,1407.77,8.0,
1306579811650,Sat May 28 11:50:11 BST 2011,5,ACTIVE,A Murray 3 - 1,6.2,279.07,48.0,22.53,1410.77,7.2,
1306580068650,Sat May 28 11:54:28 BST 2011,5,ACTIVE,A Murray 3 - 1,4.6,180.0,48.0,22.53,1410.77,7.2,
1306580124650,Sat May 28 11:55:24 BST 2011,5,ACTIVE,A Murray 3 - 1,6.0,56.33,48.0,22.53,1410.77,7.2,
1306580389650,Sat May 28 11:59:49 BST 2011,5,ACTIVE,A Murray 3 - 1,6.0,56.33,48.0,22.53,1420.09,6.2,
1306580716650,Sat May 28 12:05:16 BST 2011,5,ACTIVE,A Murray 3 - 1,4.6,180.0,48.0,22.53,1420.09,6.2,
1306580731650,Sat May 28 12:05:31 BST 2011,5,ACTIVE,A Murray 3 - 1,4.6,180.0,950.0,39.15,1420.09,6.2,
1306580737650,Sat May 28 12:05:37 BST 2011,5,ACTIVE,A Murray 3 - 1,4.6,180.0,95.0,22.53,1420.09,6.2,
1306581293650,Sat May 28 12:14:53 BST 2011,5,ACTIVE,A Murray 3 - 1,4.6,180.0,95.0,22.53,1420.09,6.2,
1306582249650,Sat May 28 12:30:49 BST 2011,5,ACTIVE,A Murray 3 - 1,6.0,77.13,95.0,22.53,1420.09,6.2,
1306582471650,Sat May 28 12:34:31 BST 2011,5,ACTIVE,A Murray 3 - 1,4.6,180.0,95.0,22.53,1420.09,6.2,
1306582578650,Sat May 28 12:36:18 BST 2011,5,ACTIVE,A Murray 3 - 1,4.6,180.0,95.0,22.53,1420.09,6.2,
1306583155650,Sat May 28 12:45:55 BST 2011,5,ACTIVE,A Murray 3 - 1,4.6,178.0,95.0,22.53,1424.09,4.6,
1306583213650,Sat May 28 12:46:53 BST 2011,5,ACTIVE,A Murray 3 - 1,4.6,176.27,95.0,22.53,1427.55,4.6,
1306583280650,Sat May 28 12:48:00 BST 2011,5,ACTIVE,A Murray 3 - 1,4.6,151.27,95.0,22.53,1477.55,4.6,
1306583282650,Sat May 28 12:48:02 BST 2011,5,ACTIVE,A Murray 3 - 1,4.6,101.27,95.0,22.53,1577.55,4.6,
1306583381650,Sat May 28 12:49:41 BST 2011,5,ACTIVE,A Murray 3 - 1,4.6,96.27,95.0,22.53,1587.55,4.6,
1306583611650,Sat May 28 12:53:31 BST 2011,5,ACTIVE,A Murray 3 - 1,4.6,86.27,95.0,22.53,1587.55,4.6,
1306583617650,Sat May 28 12:53:37 BST 2011,5,ACTIVE,A Murray 3 - 1,5.0,10.0,95.0,22.53,1587.55,4.6,
1306583787650,Sat May 28 12:56:27 BST 2011,5,ACTIVE,A Murray 3 - 1,5.0,10.0,9.8,5.0,1587.55,4.6,
1306583902650,Sat May 28 12:58:22 BST 2011,5,ACTIVE,A Murray 3 - 1,4.6,96.27,9.8,5.0,1587.55,4.6,
1306584121650,Sat May 28 13:02:01 BST 2011,5,ACTIVE,A Murray 3 - 1,4.6,87.27,95.0,22.53,1609.19,9.8,
1306584203650,Sat May 28 13:03:23 BST 2011,5,ACTIVE,A Murray 3 - 1,4.6,87.27,9.8,2.0,1609.19,9.8,
1306584223650,Sat May 28 13:03:43 BST 2011,5,ACTIVE,A Murray 3 - 1,4.6,87.27,8.6,172.47,1609.19,9.8,
