Tennis Collector Swedish Open 2011 Second Round Matches Wozniacki v Arvidsson 
Set Betting
Timestamp,Timestamp,Inplay delay,Market status,Selection name,Total matched,LPM
1309966354991,Wed Jul 06 16:32:34 BST 2011,5,ACTIVE,Wozniacki 2 - 0,12701.34,1.25,
1309966369991,Wed Jul 06 16:32:49 BST 2011,5,ACTIVE,Wozniacki 2 - 0,12701.34,1.25,
1309966371991,Wed Jul 06 16:32:51 BST 2011,5,ACTIVE,Wozniacki 2 - 0,12701.34,1.25,
1309966384991,Wed Jul 06 16:33:04 BST 2011,5,ACTIVE,Wozniacki 2 - 0,12701.34,1.25,
1309966396991,Wed Jul 06 16:33:16 BST 2011,5,ACTIVE,Wozniacki 2 - 0,12701.34,1.25,
1309966401991,Wed Jul 06 16:33:21 BST 2011,5,ACTIVE,Wozniacki 2 - 0,12701.34,1.25,
1309966403991,Wed Jul 06 16:33:23 BST 2011,5,ACTIVE,Wozniacki 2 - 0,12701.34,1.25,
1309966409991,Wed Jul 06 16:33:29 BST 2011,5,ACTIVE,Wozniacki 2 - 0,12701.34,1.25,
1309966414991,Wed Jul 06 16:33:34 BST 2011,5,ACTIVE,Wozniacki 2 - 0,12701.34,1.25,
1309966415991,Wed Jul 06 16:33:35 BST 2011,5,ACTIVE,Wozniacki 2 - 0,12701.34,1.25,
1309966424991,Wed Jul 06 16:33:44 BST 2011,5,ACTIVE,Wozniacki 2 - 0,12701.34,1.25,
1309966428991,Wed Jul 06 16:33:48 BST 2011,5,ACTIVE,Wozniacki 2 - 0,12709.34,1.25,
1309966429991,Wed Jul 06 16:33:49 BST 2011,5,ACTIVE,Wozniacki 2 - 0,12709.34,1.25,
1309966434991,Wed Jul 06 16:33:54 BST 2011,5,ACTIVE,Wozniacki 2 - 0,12709.34,1.25,
1309966445991,Wed Jul 06 16:34:05 BST 2011,5,ACTIVE,Wozniacki 2 - 0,12709.34,1.25,
1309966448991,Wed Jul 06 16:34:08 BST 2011,5,ACTIVE,Wozniacki 2 - 0,12709.34,1.25,
1309966450991,Wed Jul 06 16:34:10 BST 2011,5,ACTIVE,Wozniacki 2 - 0,12709.34,1.25,
1309966457991,Wed Jul 06 16:34:17 BST 2011,5,ACTIVE,Wozniacki 2 - 0,12709.34,1.25,
1309966458991,Wed Jul 06 16:34:18 BST 2011,5,ACTIVE,Wozniacki 2 - 0,12709.34,1.25,
1309966471991,Wed Jul 06 16:34:31 BST 2011,5,ACTIVE,Wozniacki 2 - 0,12709.34,1.25,
1309966481991,Wed Jul 06 16:34:41 BST 2011,5,ACTIVE,Wozniacki 2 - 0,12709.34,1.25,
1309966482991,Wed Jul 06 16:34:42 BST 2011,5,ACTIVE,Wozniacki 2 - 0,12709.34,1.25,
1309966486991,Wed Jul 06 16:34:46 BST 2011,5,ACTIVE,Wozniacki 2 - 0,12709.34,1.25,
1309966493991,Wed Jul 06 16:34:53 BST 2011,5,ACTIVE,Wozniacki 2 - 0,12884.82,1.41,
1309966497991,Wed Jul 06 16:34:57 BST 2011,5,ACTIVE,Wozniacki 2 - 0,13063.88,1.41,
1309966503991,Wed Jul 06 16:35:03 BST 2011,5,ACTIVE,Wozniacki 2 - 0,13063.88,1.41,
1309966504991,Wed Jul 06 16:35:04 BST 2011,5,ACTIVE,Wozniacki 2 - 0,13260.78,1.41,
1309966526991,Wed Jul 06 16:35:26 BST 2011,5,ACTIVE,Wozniacki 2 - 0,13260.78,1.41,
1309966528991,Wed Jul 06 16:35:28 BST 2011,5,ACTIVE,Wozniacki 2 - 0,13296.6,1.41,
1309966531991,Wed Jul 06 16:35:31 BST 2011,5,ACTIVE,Wozniacki 2 - 0,13296.6,1.41,
1309966534991,Wed Jul 06 16:35:34 BST 2011,5,ACTIVE,Wozniacki 2 - 0,13296.6,1.41,
1309966563991,Wed Jul 06 16:36:03 BST 2011,5,ACTIVE,Wozniacki 2 - 0,13296.6,1.41,
1309966576991,Wed Jul 06 16:36:16 BST 2011,5,ACTIVE,Wozniacki 2 - 0,13296.6,1.41,
1309966589991,Wed Jul 06 16:36:29 BST 2011,5,ACTIVE,Wozniacki 2 - 0,13475.66,1.5,
1309966610991,Wed Jul 06 16:36:50 BST 2011,5,ACTIVE,Wozniacki 2 - 0,13475.66,1.5,
1309966632991,Wed Jul 06 16:37:12 BST 2011,5,ACTIVE,Wozniacki 2 - 0,13475.66,1.5,
1309966635991,Wed Jul 06 16:37:15 BST 2011,5,ACTIVE,Wozniacki 2 - 0,13475.66,1.5,
1309966639991,Wed Jul 06 16:37:19 BST 2011,5,ACTIVE,Wozniacki 2 - 0,13475.66,1.5,
1309966645991,Wed Jul 06 16:37:25 BST 2011,5,ACTIVE,Wozniacki 2 - 0,13475.66,1.5,
1309966656991,Wed Jul 06 16:37:36 BST 2011,5,ACTIVE,Wozniacki 2 - 0,13475.66,1.5,
1309966665991,Wed Jul 06 16:37:45 BST 2011,5,ACTIVE,Wozniacki 2 - 0,13475.66,1.5,
1309966671991,Wed Jul 06 16:37:51 BST 2011,5,ACTIVE,Wozniacki 2 - 0,13475.66,1.5,
1309966698991,Wed Jul 06 16:38:18 BST 2011,5,ACTIVE,Wozniacki 2 - 0,14075.66,1.34,
1309966707991,Wed Jul 06 16:38:27 BST 2011,5,ACTIVE,Wozniacki 2 - 0,14075.66,1.34,
1309966716991,Wed Jul 06 16:38:36 BST 2011,5,ACTIVE,Wozniacki 2 - 0,14675.66,1.4,
1309966724991,Wed Jul 06 16:38:44 BST 2011,5,ACTIVE,Wozniacki 2 - 0,14675.66,1.4,
1309966732991,Wed Jul 06 16:38:52 BST 2011,5,ACTIVE,Wozniacki 2 - 0,14686.4,1.41,
1309966733991,Wed Jul 06 16:38:53 BST 2011,5,ACTIVE,Wozniacki 2 - 0,14686.4,1.41,
1309966737991,Wed Jul 06 16:38:57 BST 2011,5,ACTIVE,Wozniacki 2 - 0,14686.4,1.41,
1309966742991,Wed Jul 06 16:39:02 BST 2011,5,ACTIVE,Wozniacki 2 - 0,14686.4,1.41,
1309966751991,Wed Jul 06 16:39:11 BST 2011,5,ACTIVE,Wozniacki 2 - 0,14701.24,1.31,
1309966773991,Wed Jul 06 16:39:33 BST 2011,5,ACTIVE,Wozniacki 2 - 0,14839.1,1.55,
1309966775991,Wed Jul 06 16:39:35 BST 2011,5,ACTIVE,Wozniacki 2 - 0,14879.66,1.31,
1309966780991,Wed Jul 06 16:39:40 BST 2011,5,ACTIVE,Wozniacki 2 - 0,14942.12,1.55,
1309966794991,Wed Jul 06 16:39:54 BST 2011,5,ACTIVE,Wozniacki 2 - 0,15121.18,1.55,
1309966796991,Wed Jul 06 16:39:56 BST 2011,5,ACTIVE,Wozniacki 2 - 0,15121.18,1.55,
1309966801991,Wed Jul 06 16:40:01 BST 2011,5,ACTIVE,Wozniacki 2 - 0,15121.18,1.55,
1309966802991,Wed Jul 06 16:40:02 BST 2011,5,ACTIVE,Wozniacki 2 - 0,15121.18,1.55,
1309966816991,Wed Jul 06 16:40:16 BST 2011,5,ACTIVE,Wozniacki 2 - 0,15548.58,1.31,
1309966820991,Wed Jul 06 16:40:20 BST 2011,5,ACTIVE,Wozniacki 2 - 0,15548.58,1.31,
1309966822991,Wed Jul 06 16:40:22 BST 2011,5,ACTIVE,Wozniacki 2 - 0,15548.58,1.31,
