Tennis Sony Ericsson Open 2011 Womens Tournament The Final Sharapova v Azarenka 
Match Odds
Timestamp,Inplay delay,Market status,Selection name,BP1,BV1,LP1,LV1,Total matched,LPM
Sat Apr 02 17:40:25 BST 2011,5,ACTIVE,Maria Sharapova,2.24,3.53,2.3,886.6,120683.51,2.26,
Sat Apr 02 17:40:27 BST 2011,5,ACTIVE,Maria Sharapova,2.24,3.53,2.3,886.6,120703.28,2.26,
Sat Apr 02 17:40:30 BST 2011,5,ACTIVE,Maria Sharapova,2.26,58.64,2.3,886.6,120725.03,2.26,
Sat Apr 02 17:40:34 BST 2011,5,ACTIVE,Maria Sharapova,2.26,58.64,2.3,3.68,120822.3,2.28,
Sat Apr 02 17:40:35 BST 2011,5,ACTIVE,Maria Sharapova,2.26,58.64,2.34,3.79,120825.98,2.3,
Sat Apr 02 17:40:41 BST 2011,5,ACTIVE,Maria Sharapova,2.26,58.64,2.34,3.79,120842.76,2.32,
Sat Apr 02 17:40:43 BST 2011,5,ACTIVE,Maria Sharapova,2.26,58.64,2.34,3.79,120842.76,2.32,
Sat Apr 02 17:40:44 BST 2011,5,ACTIVE,Maria Sharapova,2.26,58.64,2.42,17.88,120848.32,2.34,
Sat Apr 02 17:40:46 BST 2011,5,ACTIVE,Maria Sharapova,2.26,58.64,2.38,18.12,120848.32,2.34,
Sat Apr 02 17:40:51 BST 2011,5,ACTIVE,Maria Sharapova,2.26,58.64,2.42,17.88,120853.32,2.34,
Sat Apr 02 17:40:53 BST 2011,5,ACTIVE,Maria Sharapova,2.26,58.64,2.42,17.88,121759.44,2.34,
Sat Apr 02 17:40:54 BST 2011,5,ACTIVE,Maria Sharapova,2.26,58.64,2.42,17.88,121980.18,2.38,
Sat Apr 02 17:40:55 BST 2011,5,ACTIVE,Maria Sharapova,2.26,58.64,2.42,17.88,122001.07,2.38,
Sat Apr 02 17:40:57 BST 2011,5,ACTIVE,Maria Sharapova,2.26,58.64,2.42,17.88,122306.56,2.38,
Sat Apr 02 17:40:58 BST 2011,5,ACTIVE,Maria Sharapova,2.26,58.64,2.42,17.88,122325.98,2.38,
Sat Apr 02 17:41:00 BST 2011,5,ACTIVE,Maria Sharapova,2.26,58.64,2.42,17.88,122507.14,2.38,
Sat Apr 02 17:41:03 BST 2011,5,ACTIVE,Maria Sharapova,2.26,58.64,2.42,17.88,122681.14,2.4,
Sat Apr 02 17:41:07 BST 2011,5,ACTIVE,Maria Sharapova,2.26,58.64,2.42,17.88,122699.22,2.4,
Sat Apr 02 17:41:12 BST 2011,5,ACTIVE,Maria Sharapova,2.26,58.64,2.42,17.0,122713.43,2.4,
Sat Apr 02 17:41:13 BST 2011,5,ACTIVE,Maria Sharapova,2.26,58.64,2.48,391.62,122730.44,2.42,
Sat Apr 02 17:41:18 BST 2011,5,ACTIVE,Maria Sharapova,2.26,58.64,2.48,391.62,122730.44,2.42,
Sat Apr 02 17:41:19 BST 2011,5,ACTIVE,Maria Sharapova,2.26,58.64,2.4,29.66,122730.44,2.42,
Sat Apr 02 17:41:22 BST 2011,5,ACTIVE,Maria Sharapova,2.26,58.64,2.48,391.62,122730.44,2.42,
Sat Apr 02 17:41:25 BST 2011,5,ACTIVE,Maria Sharapova,2.26,58.64,2.3,69.22,122730.44,2.42,
Sat Apr 02 17:41:29 BST 2011,5,ACTIVE,Maria Sharapova,2.22,167.8,2.3,69.22,123107.87,2.22,
Sat Apr 02 17:41:30 BST 2011,5,ACTIVE,Maria Sharapova,2.26,129.66,2.48,391.62,123731.47,2.26,
Sat Apr 02 17:41:31 BST 2011,5,ACTIVE,Maria Sharapova,2.26,129.66,2.38,5297.54,123731.47,2.26,
Sat Apr 02 17:41:34 BST 2011,5,ACTIVE,Maria Sharapova,2.26,126.66,2.38,5297.54,123737.47,2.26,
Sat Apr 02 17:41:35 BST 2011,5,ACTIVE,Maria Sharapova,2.26,30.42,2.28,69.22,123929.95,2.26,
Sat Apr 02 17:41:36 BST 2011,5,ACTIVE,Maria Sharapova,2.22,167.8,2.28,69.22,123965.38,2.26,
Sat Apr 02 17:41:38 BST 2011,5,ACTIVE,Maria Sharapova,2.22,167.8,2.26,29.13,123965.38,2.26,
Sat Apr 02 17:41:40 BST 2011,5,ACTIVE,Maria Sharapova,2.22,167.8,2.26,340.93,123965.38,2.26,
Sat Apr 02 17:41:41 BST 2011,5,ACTIVE,Maria Sharapova,2.22,167.8,2.38,5297.54,124395.52,2.28,
Sat Apr 02 17:41:43 BST 2011,5,ACTIVE,Maria Sharapova,2.28,69.22,2.38,5297.54,124587.83,2.3,
Sat Apr 02 17:41:44 BST 2011,5,ACTIVE,Maria Sharapova,2.24,10.0,2.38,5297.54,124587.83,2.3,
Sat Apr 02 17:41:46 BST 2011,5,ACTIVE,Maria Sharapova,2.26,12.91,2.38,5297.54,124587.83,2.3,
Sat Apr 02 17:41:47 BST 2011,5,ACTIVE,Maria Sharapova,2.26,12.91,2.38,5046.14,124839.23,2.38,
Sat Apr 02 17:41:48 BST 2011,5,ACTIVE,Maria Sharapova,2.26,12.91,2.38,5046.14,124866.91,2.28,
Sat Apr 02 17:41:55 BST 2011,5,ACTIVE,Maria Sharapova,2.26,12.91,2.38,5046.14,124882.51,2.34,
Sat Apr 02 17:41:57 BST 2011,5,ACTIVE,Maria Sharapova,2.26,12.91,2.4,20.0,124882.51,2.34,
Sat Apr 02 17:41:58 BST 2011,5,ACTIVE,Maria Sharapova,2.26,12.91,2.4,20.0,124912.51,2.38,
Sat Apr 02 17:42:00 BST 2011,5,ACTIVE,Maria Sharapova,2.26,12.91,2.4,20.0,125195.05,2.32,
Sat Apr 02 17:42:01 BST 2011,5,ACTIVE,Maria Sharapova,2.26,12.91,2.4,20.0,125197.54,2.34,
Sat Apr 02 17:42:02 BST 2011,5,ACTIVE,Maria Sharapova,2.26,12.91,2.4,20.0,125201.95,2.34,
Sat Apr 02 17:42:04 BST 2011,5,ACTIVE,Maria Sharapova,2.26,14.91,2.4,20.0,125600.15,2.34,
Sat Apr 02 17:42:07 BST 2011,5,ACTIVE,Maria Sharapova,2.26,14.91,2.48,391.62,130666.29,2.42,
Sat Apr 02 17:42:08 BST 2011,5,ACTIVE,Maria Sharapova,2.26,14.91,2.52,441.46,131057.91,2.48,
Sat Apr 02 17:42:09 BST 2011,5,ACTIVE,Maria Sharapova,2.44,1616.63,2.52,441.46,131356.33,2.44,
Sat Apr 02 17:42:10 BST 2011,5,ACTIVE,Maria Sharapova,2.44,1606.04,2.52,441.46,131377.53,2.44,
Sat Apr 02 17:42:11 BST 2011,5,ACTIVE,Maria Sharapova,2.44,1585.74,2.52,441.46,131397.83,2.44,
Sat Apr 02 17:42:12 BST 2011,5,ACTIVE,Maria Sharapova,2.44,1585.74,2.52,441.46,131428.92,2.46,
Sat Apr 02 17:42:13 BST 2011,5,ACTIVE,Maria Sharapova,2.44,1585.74,2.52,441.46,131432.05,2.46,
Sat Apr 02 17:42:16 BST 2011,5,ACTIVE,Maria Sharapova,2.44,1585.74,2.6,42.25,131873.5,2.52,
Sat Apr 02 17:42:17 BST 2011,5,ACTIVE,Maria Sharapova,2.44,1585.74,2.6,42.25,131953.5,2.46,
Sat Apr 02 17:42:19 BST 2011,5,ACTIVE,Maria Sharapova,2.44,1585.74,2.6,42.25,131971.16,2.48,
Sat Apr 02 17:42:20 BST 2011,5,ACTIVE,Maria Sharapova,2.44,1585.74,2.6,42.25,131973.81,2.52,
Sat Apr 02 17:42:21 BST 2011,5,ACTIVE,Maria Sharapova,2.44,1585.74,2.6,42.25,131980.05,2.52,
Sat Apr 02 17:42:22 BST 2011,5,ACTIVE,Maria Sharapova,2.52,279.62,2.6,42.25,131980.05,2.52,
Sat Apr 02 17:42:23 BST 2011,5,ACTIVE,Maria Sharapova,2.44,1585.74,2.6,42.25,131984.05,2.52,
Sat Apr 02 17:42:26 BST 2011,5,ACTIVE,Maria Sharapova,2.44,1585.74,2.5,31.18,131984.05,2.52,
Sat Apr 02 17:42:28 BST 2011,5,ACTIVE,Maria Sharapova,2.38,353.17,2.5,31.18,132072.34,2.48,
Sat Apr 02 17:42:29 BST 2011,5,ACTIVE,Maria Sharapova,2.38,353.17,2.5,31.18,132072.34,2.48,
Sat Apr 02 17:42:30 BST 2011,5,ACTIVE,Maria Sharapova,2.38,353.17,2.5,31.18,132072.34,2.48,
Sat Apr 02 17:42:31 BST 2011,5,ACTIVE,Maria Sharapova,2.38,353.17,2.5,31.18,132072.34,2.48,
Sat Apr 02 17:42:32 BST 2011,5,ACTIVE,Maria Sharapova,2.38,353.17,3.05,2.8,132165.42,2.7,
Sat Apr 02 17:42:33 BST 2011,5,ACTIVE,Maria Sharapova,2.38,353.17,3.05,2.8,132306.69,2.74,
Sat Apr 02 17:42:34 BST 2011,5,ACTIVE,Maria Sharapova,2.38,353.17,3.05,2.8,132325.52,2.74,
