Tennis Sony Ericsson Open 2011 Womens Tournament The Final Sharapova v Azarenka 
Match Odds
Sat Apr 02 17:30:00 BST 2011
Timestamp,Inplay delay,Market status,Selection name,BP1,BV1,LP1,LV1,Total matched,LPM
Sat Apr 02 09:46:08 BST 2011,0,ACTIVE,Victoria Azarenka,1.67,1523.59,1.68,1618.25,52022.39,1.67,
Sat Apr 02 09:46:09 BST 2011,0,ACTIVE,Victoria Azarenka,1.67,1523.59,1.68,1618.25,52022.39,1.67,
Sat Apr 02 09:46:10 BST 2011,0,ACTIVE,Victoria Azarenka,1.67,1523.59,1.68,1618.25,52022.39,1.67,
Sat Apr 02 09:46:11 BST 2011,0,ACTIVE,Victoria Azarenka,1.67,1523.59,1.68,1618.25,52022.39,1.67,
Sat Apr 02 09:46:12 BST 2011,0,ACTIVE,Victoria Azarenka,1.67,1523.59,1.68,1618.25,52022.39,1.67,
Sat Apr 02 09:46:13 BST 2011,0,ACTIVE,Victoria Azarenka,1.67,1523.59,1.68,1618.25,52022.39,1.67,
Sat Apr 02 09:46:14 BST 2011,0,ACTIVE,Victoria Azarenka,1.67,1523.59,1.68,1618.25,52022.39,1.67,
Sat Apr 02 09:46:15 BST 2011,0,ACTIVE,Victoria Azarenka,1.67,1523.59,1.68,1618.25,52022.39,1.67,
Sat Apr 02 09:46:16 BST 2011,0,ACTIVE,Victoria Azarenka,1.67,1523.59,1.68,1618.25,52022.39,1.67,
Sat Apr 02 09:46:17 BST 2011,0,ACTIVE,Victoria Azarenka,1.67,1523.59,1.68,1618.25,52022.39,1.67,
Sat Apr 02 09:46:18 BST 2011,0,ACTIVE,Victoria Azarenka,1.67,1523.59,1.68,1618.25,52022.39,1.67,
Sat Apr 02 09:46:19 BST 2011,0,ACTIVE,Victoria Azarenka,1.67,1523.59,1.68,1618.25,52022.39,1.67,
Sat Apr 02 09:46:20 BST 2011,0,ACTIVE,Victoria Azarenka,1.67,1523.59,1.68,1618.25,52022.39,1.67,
Sat Apr 02 09:46:21 BST 2011,0,ACTIVE,Victoria Azarenka,1.67,1523.59,1.68,1618.25,52022.39,1.67,
Sat Apr 02 09:46:22 BST 2011,0,ACTIVE,Victoria Azarenka,1.67,1523.59,1.68,1618.25,52022.39,1.67,
Sat Apr 02 09:46:23 BST 2011,0,ACTIVE,Victoria Azarenka,1.67,1523.59,1.68,1618.25,52022.39,1.67,
Sat Apr 02 09:46:24 BST 2011,0,ACTIVE,Victoria Azarenka,1.67,1523.59,1.68,1618.25,52022.39,1.67,
Sat Apr 02 09:46:25 BST 2011,0,ACTIVE,Victoria Azarenka,1.67,1523.59,1.68,1618.25,52022.39,1.67,
Sat Apr 02 09:46:26 BST 2011,0,ACTIVE,Victoria Azarenka,1.67,1523.59,1.68,1618.25,52022.39,1.67,
Sat Apr 02 09:46:27 BST 2011,0,ACTIVE,Victoria Azarenka,1.67,1523.59,1.68,1618.25,52022.39,1.67,
Sat Apr 02 09:46:28 BST 2011,0,ACTIVE,Victoria Azarenka,1.67,1523.59,1.68,1618.25,52022.39,1.67,
