Tennis Sony Ericsson Open 2011 Womens Tournament The Final Sharapova v Azarenka 
Match Odds
Sat Apr 02 17:30:00 BST 2011
Timestamp,Inplay delay,Market status,Selection name,BP1,BV1,LP1,LV1,Total matched,LPM
Sat Apr 02 09:46:26 BST 2011,0,ACTIVE,Maria Sharapova,2.46,5.29,2.5,104.74,12387.9,2.48,
Sat Apr 02 09:46:27 BST 2011,0,ACTIVE,Maria Sharapova,2.46,5.29,2.5,104.74,12387.9,2.48,
Sat Apr 02 09:46:28 BST 2011,0,ACTIVE,Maria Sharapova,2.46,5.29,2.5,104.74,12387.9,2.48,
Sat Apr 02 09:46:29 BST 2011,0,ACTIVE,Maria Sharapova,2.46,5.29,2.5,104.74,12387.9,2.48,
Sat Apr 02 09:46:30 BST 2011,0,ACTIVE,Maria Sharapova,2.46,5.29,2.5,104.74,12387.9,2.48,
Sat Apr 02 09:46:31 BST 2011,0,ACTIVE,Maria Sharapova,2.46,5.29,2.5,104.74,12387.9,2.48,
Sat Apr 02 09:46:32 BST 2011,0,ACTIVE,Maria Sharapova,2.46,5.29,2.5,104.74,12387.9,2.48,
Sat Apr 02 09:46:33 BST 2011,0,ACTIVE,Maria Sharapova,2.46,5.29,2.5,104.74,12387.9,2.48,
Sat Apr 02 09:46:34 BST 2011,0,ACTIVE,Maria Sharapova,2.46,5.29,2.5,104.74,12387.9,2.48,
Sat Apr 02 09:46:35 BST 2011,0,ACTIVE,Maria Sharapova,2.46,5.29,2.5,104.74,12387.9,2.48,
Sat Apr 02 09:46:36 BST 2011,0,ACTIVE,Maria Sharapova,2.46,5.29,2.5,104.74,12387.9,2.48,
Sat Apr 02 09:46:37 BST 2011,0,ACTIVE,Maria Sharapova,2.46,5.29,2.5,104.74,12387.9,2.48,
Sat Apr 02 09:46:38 BST 2011,0,ACTIVE,Maria Sharapova,2.46,5.29,2.5,104.74,12387.9,2.48,
Sat Apr 02 09:46:39 BST 2011,0,ACTIVE,Maria Sharapova,2.46,5.29,2.5,104.74,12387.9,2.48,
Sat Apr 02 09:46:40 BST 2011,0,ACTIVE,Maria Sharapova,2.46,5.29,2.5,104.74,12387.9,2.48,
Sat Apr 02 09:46:41 BST 2011,0,ACTIVE,Maria Sharapova,2.46,5.29,2.5,104.74,12387.9,2.48,
Sat Apr 02 09:46:42 BST 2011,0,ACTIVE,Maria Sharapova,2.46,5.29,2.5,104.74,12387.9,2.48,
Sat Apr 02 09:46:43 BST 2011,0,ACTIVE,Maria Sharapova,2.46,5.29,2.5,104.74,12387.9,2.48,
Sat Apr 02 09:46:44 BST 2011,0,ACTIVE,Maria Sharapova,2.46,5.29,2.5,104.74,12387.9,2.48,
Sat Apr 02 09:46:45 BST 2011,0,ACTIVE,Maria Sharapova,2.46,5.29,2.5,104.74,12387.9,2.48,
Sat Apr 02 09:46:46 BST 2011,0,ACTIVE,Maria Sharapova,2.46,5.29,2.5,104.74,12387.9,2.48,
Sat Apr 02 09:46:47 BST 2011,0,ACTIVE,Maria Sharapova,2.46,5.29,2.5,104.74,12387.9,2.48,
Sat Apr 02 09:46:48 BST 2011,0,ACTIVE,Maria Sharapova,2.46,5.29,2.5,104.74,12387.9,2.48,
Sat Apr 02 09:46:49 BST 2011,0,ACTIVE,Maria Sharapova,2.46,5.29,2.5,104.74,12387.9,2.48,
Sat Apr 02 09:46:50 BST 2011,0,ACTIVE,Maria Sharapova,2.46,5.29,2.5,104.74,12387.9,2.48,
Sat Apr 02 09:46:51 BST 2011,0,ACTIVE,Maria Sharapova,2.46,5.29,2.5,104.74,12387.9,2.48,
Sat Apr 02 09:46:52 BST 2011,0,ACTIVE,Maria Sharapova,2.46,5.29,2.5,104.74,12387.9,2.48,
Sat Apr 02 09:46:53 BST 2011,0,ACTIVE,Maria Sharapova,2.46,5.29,2.5,104.74,12387.9,2.48,
Sat Apr 02 09:46:54 BST 2011,0,ACTIVE,Maria Sharapova,2.46,5.29,2.5,104.74,12387.9,2.48,
Sat Apr 02 09:46:55 BST 2011,0,ACTIVE,Maria Sharapova,2.46,5.29,2.5,104.74,12387.9,2.48,
Sat Apr 02 09:46:56 BST 2011,0,ACTIVE,Maria Sharapova,2.46,5.29,2.5,104.74,12387.9,2.48,
Sat Apr 02 09:46:57 BST 2011,0,ACTIVE,Maria Sharapova,2.46,5.29,2.5,104.74,12387.9,2.48,
Sat Apr 02 09:46:58 BST 2011,0,ACTIVE,Maria Sharapova,2.46,5.29,2.5,104.74,12387.9,2.48,
Sat Apr 02 09:46:59 BST 2011,0,ACTIVE,Maria Sharapova,2.46,5.29,2.5,104.74,12387.9,2.48,
Sat Apr 02 09:47:00 BST 2011,0,ACTIVE,Maria Sharapova,2.46,5.29,2.5,104.74,12387.9,2.48,
Sat Apr 02 09:47:01 BST 2011,0,ACTIVE,Maria Sharapova,2.46,5.29,2.5,104.74,12387.9,2.48,
Sat Apr 02 09:47:02 BST 2011,0,ACTIVE,Maria Sharapova,2.46,5.29,2.5,104.74,12387.9,2.48,
Sat Apr 02 09:47:03 BST 2011,0,ACTIVE,Maria Sharapova,2.46,5.29,2.5,104.74,12387.9,2.48,
Sat Apr 02 09:47:04 BST 2011,0,ACTIVE,Maria Sharapova,2.46,5.29,2.5,104.74,12387.9,2.48,
Sat Apr 02 09:47:05 BST 2011,0,ACTIVE,Maria Sharapova,2.46,5.29,2.5,104.74,12387.9,2.48,
Sat Apr 02 09:47:06 BST 2011,0,ACTIVE,Maria Sharapova,2.46,5.29,2.5,104.74,12387.9,2.48,
Sat Apr 02 09:47:07 BST 2011,0,ACTIVE,Maria Sharapova,2.46,5.29,2.5,104.74,12387.9,2.48,
Sat Apr 02 09:47:08 BST 2011,0,ACTIVE,Maria Sharapova,2.46,5.29,2.5,104.74,12387.9,2.48,
Sat Apr 02 09:47:09 BST 2011,0,ACTIVE,Maria Sharapova,2.46,5.29,2.5,104.74,12387.9,2.48,
Sat Apr 02 09:47:10 BST 2011,0,ACTIVE,Maria Sharapova,2.46,5.29,2.5,104.74,12387.9,2.48,
Sat Apr 02 09:47:11 BST 2011,0,ACTIVE,Maria Sharapova,2.46,5.29,2.5,104.74,12387.9,2.48,
